SKU,Description
112702,"FR PLATE, FORD CD4E DIRECT 93-UP"
112710,"*** USE 52710G *** FILTER DPO, AL4 98 -UP RENAULT"
112753,"SMOD FORD CD4E, MAZ LA4AEL 94+"
114425,MCS 4T40E AXLE 95+ *** WHEN OUT USE X114425
114700,"FR PLATE, GM 4T40E FORWARD 95+"
114702,FR GM 4T40E DIRECT HEG 95+
114704,"FR GM 4T40E, 4T45E 95-ON REVERSE INPUT"
114706,FR 4T40E 2ND CL 95+
114708,FR GM 4T40E COAST 95+
114752,"FR MODULE, GM 4T40E/4T45E 4SP FWD 95+"
114753B,DRUM ZF5HP24
114753X,SMOD GM 4T40E 4T45E (DAEWOO) 1995-UP
114940,FILTER 4T40E 95+
115702,FR AW60-42LE REVERSE 95+
115707-360,ST AW60-42 C-0 3-4 CL 96+
115707-390,ST AW60-42 C-0 3-4 CL 95+
115709,ST AW60-42LE COAST 95+
115709-360,ST AW60-42LE COAST 95+
115753A,"ST MODULE, AW60-41SN 98+"
115753X,SMOD AW60-40LE/41SN (GM DAIHATSU FIAT OPEL SUZUKI)1995-UP
115940,FILTER AW60/40
115950,*** USE 59700A *** BAND AW60-40LE INTERMEDIATE TE 95+
115960,BAND AW60-40LE INTERMED RED EAGLE 95+
11600,LATHE CUT
1165,FLYWHEEL C3
116700,"FR PLATE HONDA, 4 SPEED 1995-On"
116702,*** USE 116702A *** FR HONDA MPZA LOW 95+
116710,"FILTER, 6T40E, 6T45E (OEM# 24230708)"
116710E,*** USE 96720H *** FILTER ZF6HP26 AUDI 09E 4WD (OEM# 2-4945-6000)
117753,"ST MODULE, MERCEDES 722.5 90-ON"
118710,"FILTER, GM/FORD 6T70, 6T75, 6T76F, 6F50, 6F55, 8F57 (2007-UP) (OE# 24223670, 24264344, 7TAZ-7A098-B)"
118753A,"SMOD (CVT) MLYA, SLYA, MHTA 01-05 SMVA, SWRA 02+"
119700,"*** USE 119700A *** FR HONDA M6HA,MDWA 1ST GEAR HEG 97+"
119702 AFT,"BAND, JF506E FWD, VW, MAZDA (OEM# FP01-19-360 , 31630-PW001)"
119752,"FR MODULE, HONDA BAXA, MDWA, M6HA 97+"
119753,"ST MODULE MAXA, BAXA, MDWA 98-02"
119940-03K,"VALVE KIT, MAIN REGULATOR"
119940-05K,"VALVE KIT, BOOST REGULATOR"
119958,"SENSOR, OUTPUT SPEED, VW 01M, 096 98-2007 (ROUND HALF D CONNECTOR, W/CABLE) (AFTERMARKET) (OEM# 01M-927-321B)"
119958A,"INPUT SENSOR ,096/01M 90-2006  (Two terminal rectangular connector)"
12030EC,BUSHING KIT A500 COMPLETE
122710,"FILTER JF506E JAGUAR, MONDEO  (02-UP) (OEM# FP01-21-500, 31728-PR001)"
122952B,SOLENOID JF506E 2-4 BRAKE 99-ON
122953,"SOLENOID JF506E SHIFT ""C"" GREEN"
122954,SOLENOID JF506E LOW CLUTCH BLACK 99-ON
1229900,"SOLENOID KIT JF506E, 09A (9 SOLENOIDS) (VW, JAGUAR, FREELANDER)  99-UP"
123700,"*** USE 123708 *** FR PLATE MITSUBISHI, HYUNDAI F4A41, F4A42 1996-On, W4A42 2003-On, F4A4B 2007-On UNDERDRIVE-WAVE"
123710,"*** USE 69715 *** FILTER RE5R05A 350Z, TITAN, ARMADA, INFINITI, QX56"
123752A,"FR MODULE, MITSUBISHI F4A41/F4A42 97+"
123752B,"FR MODULE, MITSUBISHI F1C1 CVT 07+"
123753A,"ST MODULE, MITSUBISHI F4A41/F4A42  COMBO 96+"
123753B,"ST MODULE, MITSUBISHI F1C1 CVT 07+"
123753X,"ST MODULE, MITSUBISHI HYUNDAI F4A41 F4A42 F4A4B, F1C1 1996-UP"
123754A,VALVE BODY NISSAN PATHFINDER RE5R05A (GOOD USED)
123903,"MASTER KIT, MITSUBISHI CVT F1C1 07+"
123940,"FILTER F4A41, F4A42 W/ORING MIRAGE 96+"
123941,"FILTER F4A41, F4A42, F4A51 96+"
12474602,4535 CHAIN ASM
124752,"FR MODULE, MITSUBISHI F4A51, R4A51, V4A51 97+"
124753,"SMOD MITS F4A51, R4A51, V4A51 97+"
124753A,"SMOD MITS F5A51, V5A51, R5A51 5 SPEED  99-ON"
124753AX,SMOD MITSUBISHI F5A51 KIA HYUNDAI 1999-UP
124753D,"ST MODULE, MITSUBISHI A5HF1 KIA, HYUNDAI 06-UP"
12477639,CABLE
124940C,"FILTER F4A51, F5A51 PLASTIC INTL 99+"
124942A,"*** WHEN OUT. USE 47710A *** FILTER R/V4A51, V5A51 DEEP PAN 97-UP"
12520F-P,"PUMP AND VALVE BODY SET, TH125C ,690BEARING, 1 SWITCH, 1 SOLENOID, BLACK CONNECTOR"
12520G,"PUMP AND VALVE BODY SET, 2 SWITCHES, 1 SOL. 1/2"
12520G-P,"PUMP AND VALVE BODY SET TH125C, 690 BEARING, 2 SWITCH, 1 SOLENOID, BLACK CONNECTOR"
12520H,"PUMP&VALVE BODY SET, 1 SWITCH, 1 SOLENOID  1/2"
125340A,"PUMP DRIVE SHAFT GOOD USED,THYIN"
125340E,"PUMP SHAFT,.687""BEARING SURFACE,84 UP, TH125"
12539B,"PUMP, A500 CHRYSLER 94-UP"
12652,FMOD VW DSG(02E)
12653,SMOD VW DSG(02E)
126710,"FILTER, FORD 6 SP 6R140, 6.7L TURBO DIESEL, 2011-UP, OE# BC3Z-7A098-B, BC3P-7G186-BE"
12740EC-GU,"VALVE BODY 96-99 A500 WIDE PORT 90 DEGREES GOV PRES SENSOR,  SOLD AS IS NO WARRANTY"
12762A,"PUMP GEAR A904, TF6 1978-ON, 49680"
127705-140,ST MINI CENTER SUPPORT 1.4MM
127712-152,"FR PLATE, DAIHATSU A4LB1, TOY U540E TERIOS INPUT HEG"
127752,"FR MODULE, DAIHATSU MINI"
127752A,"FR MODULE, TOYOTA U540E A4LB1 MINI 02+"
127753A,"ST MODULE, TOYOTA U540 A4LB1 MINI 02+"
12776A,"FILTER, TF6, 904, A500 66-ON 5 HOLE CHRYSLER (SMALL)"
12776C,"FILTER TF6, TF8, A904, A727, A500, A518 62-ON  4 HOLE/FELT CHRYSLER(DRACRON) (OEM# 3515996, 8126042)"
127800,OVERHAUL KIT DAIHATSU MINI
127901-99,"*** USE K75900M-PK *** PISTON KIT, A4LB-1 TERIOS, 6 PIECES"
127940,FILTER DAIHATSU TERIOS
127950,BAND DAIHATSU TERIOS KID
127950A,BAND DAIHATSU MIRA
12854,"A500 STEEL,O.D DIRECT"
128752,"FR MODULE, CHRYSLER 45RFE 98+"
128940,FLT CHRYS 45RFE 2WD 99+
128944,*** USE 92717 *** FILTER CHRYSLER SL45RFE SPIN-ON 99+
12956N,METAL CLAD SEAL
12962N,"SUPPORT OVERDRIVE PISTON HOUSING (UNIVERSAL) A500 (40RH, 42RH, 42RE, 44RE) 88-04"
12970,"SPRING, A500 OD CLUTCH RETURN (IND# 12970)"
129701-230,PRESSURE PLATE VW 09G
129706-170,"FR PLATE, VW TF-60SN, 09G C2 (4TH, 5TH, 6TH) 03+ (55T)"
129708-173,"*** USE 129708A173 *** FR VW TF-60SN, 09G C3 (REV, 3RD, 5TH) 03+"
129752,"FR MODULE VW/AUDI AW TF-60SN,09G, 03+"
129752A,"FR MODULE, AW TF60-SN, 09K 6 Speed 2003-ON"
129940,FILTER 09G VW
13000BW,"SPRAG, 4T65E, PAWL OWC 3RD 03-UP"
13013BW,"SPRAG, 4T65E PAWL OWC INPUT 03-UP"
13115AKP,"FRONT PLANET KIT, GOOD USED, INCLUDES: PLANET, RING GEAR, AND WASHERS AND BEARINGS"
13120A,FRONT PUMP
13122AKP,"DIRECT DRUM COMPLETE HOUSE REBUILT , 2 CLUTCH"
13164A,"GOVERNOR  4/3, A130 TOYOTA"
131826D,"RING&PINION,18X67, INCLUDE DIFF HOUSING AND MISC PARTS  4/3, A130 TOYOTA"
131826EK,"RING&PINION 19X67 3 TIC MARKS, INCLUDE DIFF ANS MISC PARTS   4/3, A130 TOYOTA"
131826EKP-I,"RING AND PINION KIT, GOOD USED, 19x67, 3 I.D. GROOVES, RATIO 3.52"
13225,"PUMP GASKET, C-6"
13226,"LATHE CUT, C-6"
132702,"FR ZF 5HP24 B,D,E PACK HEG 97+"
133350,REAR COVER ASSY FORD 4F27E(SAME AS 32395)
133701-160,"ST PLATE, FORD, MAZDA 4F27E FOR/DIR 99+"
133701-345,ST FORD 4F27E 99+
133705-160,ST FD/MAZ 4F27E REV 99+
133752-2,"FR MODULE, MAZDA FS5AEL FNR5 (FORD) 2006-UP"
134700-195,"*** USE 134700A195 *** FR HONDA B7YA,VA 1ST & 2ND HEG 99+"
134702-195,"*** USE 134702A195 *** FR HONDA B7YA,VA 3RD & 4TH HEG 99+ ( ALLOMATIC# 512860)"
134752,"FMOD HONDA B7TA,B7VA,YA 99+"
134753,"SMOD HONDA B7TA,VA,YA 99+"
13531A,"GASKET, PUMP COVER TO CASE, TH350"
135741A,CLUTCH HUB 4-5-6 / 6L50E NEW
136702-180,FR PLATE TOY DIRECT U140E/F 98-ON
136703-300,"ST PLATE, TOYOTA U140E/F DIRECT 98-ON"
136800,"OVERHAUL KIT, TOY U140E, U140F 98+ W/PISTONS"
137700-170,"FR PLATE, FORD 5R55N FOR 99+"
137701-167,ST FORD 5R55N FOR 99+
137702-205,FR FORD 5R55N DIR INT SPL HEG 99+
137703-205,"FR PLATE, FORD 5R55N DIR EXTERNAL SPLINE HEG 99+"
137704-245,"FR FORD 5R55N INTERMET, INTERNL SPL HEG 99-02"
137752A,"FR MODULE, FORD 5R55W/5R5S 02+"
137753,"ST MODULE, FORD 5R55N/5R55S/5R55W  99-UP"
138730-195,FR TRANSFER CASE 4405 INTERNAL SPLINE 95+
138731-195,FR TRANSFER CASE 4405/6 EXT SPLINE 95+
138740B-GU,VALVE BODY 4F27E USED
139352,REV DRUM BMW ZF5HP19
139704-155,"FR ZF5HP19,FL,FLA C CLUTCH HEG 95+"
139752A,"FR MODULE ZF5HP19, FL, FLA, HA, 4WD 95+"
139753,SMOD ZF5HP19 FL FWD 95+
139800,"OVERHAUL KIT, ZF5HP19, FL FLA W/ PISTON"
139901A,MASTER KIT  ZF5HP19 FL D W/PISTONS (6) 95+
14012694,SEAL
14077157,FLYWHEEL
141702A160,FR PLATE MERCEDES 722.9 B2 Clutch- external spline 2004-ON
141704-160,FR PLATE MERCEDES 722.9 BR Clutch 2004-ON
141708-216,FR MERC 722.6 K3 CL HEG 98+
141752A,FMOD MERCEDES 722.6 98-01
141753B,"ST MODULE, MERCEDES 722.6 02-UP"
141753D,"ST MODULE, MERCEDES 722.6 96-01"
141800,"OVERHAUL KIT, MERCEDES 722.6 W5A580 96+"
14209,"BEARING, 4T40/45E, PUMP, 33000-01"
143753A,"ST MODULE, ZF6HP19A VW/AUDI AWD 2002-On"
144700-180,FR TOY U340/41E FOR HEG 99+
144702-180,"FR TOYOTA U340, U341E DIR HEG 99+"
144708-185,FR PLATE TOYOTA U340/E REVERSE 2000-UP
145753,"ST MODULE, TOYOTA U240E, U241E 2000-ON"
146704-195,FR M7WA 3.2TL 2ND HEG 2000+
146706-195,*** USE 146706A195 *** FR M7WA 3.2TL 3RD 2000-UP
146707-230,ST M7WA 3.2TL 3RD 2000-UP
147901X,MASTER KIT MERCEDES 722.7 W/O PISTONS 98+
148400,MCS MD3060 FRONT PUMP 95-ON
148425,MCS MD3060 FRONT/REAR OUTPUT 95-ON
148752,FMOD ALLI WORLD MD-300 95+
148901,MASTER KIT ALLISON WORLD WITH/OE GASKET SET
14931E,BUSHING KIT 4T60E 91-95
15080,"GEAR SEAL KIT, FORD (75-79)"
15086,FORD SECTOR SHAFT KIT
151400,MCS 01J
15189201,AUTO TRANS SHIFTER CABLE
152400,"MCS ALLISON 1000, 2000 SERIES FRONT PUMP 99-ON"
152405,"MCS ALLISON 1000, 2000 SERIES EXTENSION HOUSING 99-ON"
152704-213,"FR ALLI B1,2,3000 C3 PWRPK 99+"
152752,"FR MODULE, ALLISON 1000,2000 SERIES 99-09"
152753,"ST MODULE, ALLISON 1000,2000 SERIES 99+"
153752,"FR MODULE, AW450-43LE HEG 98+"
153753,"ST MODULE, AW450-43LE 98+"
154752,"FR MODULE, ZF4HP20 98+"
154753,SMOD ZF4HP20 98 +
15505,"R&P SEAL KIT, FORD ALUMINIUM"
213-347,"SPEED SENSOR, 4L60E 4X4 (PLASTIC)"
15552,R & P FORD COMP KIT
155670,PISTON KIT DPO/AL4 (7PCS)
155705-160,"FR PLATE, DPO/AL-4 #3 4TH EXT SPL HEG 97+"
155901,"MASTER KIT, AL4/DPO"
15592548,BUMPER
155940,"*** USE 52710G *** FILTER, RENAULT AL4/DPO 97-up"
155950,"BAND, AL4/DPO"
15607586,BUSHING GM
156700-160,"FR 5L40E DIR, LO/REV, 2ND CST INT SPL HEG A SIDE 99+"
156750,"FRST MODULE, 4L40E, 5L40E, 5L50E 1999-On (W/36 EXT TEETH ON 2ND COAST)"
156750A,"FS MODULE, 5L40E BMW, CAD AWD ONLY 99+ (W/6 EXT TEETH ON 2ND COAST)"
156800A,"OVERHAUL KIT 5L40E BMW, CAD AWD W/PST (9) 99+"
156942,FILTER LT 5L40E W/OUTLETSPACER TUBE DEEP 99+
15721261,CABLE
15724744,"ADAPTER, TRANSFER 4L60E 6X6"
157752,"FR MODULE, HONDA 5 SP BGHA, MGHA, BGRA, BYBA, BVGA, BAYA (04-07)"
157753,"ST MODULE, HONDA 5 SP BGHA, MGHA, BYBA (01-02), BVGA  03-06, BAYA (04-07)"
15785087,AUTO TRANS SHIFTER CABLE
159752,"FR MODULE, AW55-50SN 99+"
159752A,FMOD AW55-51SN 05-UP
159753,SMOD AW55-50SN 99+
159753A,*** USE 159753 *** SMOD AW55-50SN 05-UP
15979773,F-BUSHING
16255,PUMP ROTOR KIT RE4R01A
162700-170,FR JF506E #1 DIRECT HEG 01+
162704-170,"FR PLATE, JF506E #3 LOW HEG 01+"
166753,SMOD FORD 5R110W 03-04
16756A,PUMP 5R110 2005-UP
169752,"FR MODULE, HONDA 4SP BCLA,MCLA ACCORD 03-04"
169752A,"FR MODULE, HONDA CR-V MKYA/GPLA, MKZA, GPPA, BCLA 05-ON"
169753A,"ST MODULE, HONDA CRV MKYA/GPLA, MKZA, GPPA, BCLA 4 & 5 SPEED 2002-ON 3 SHAFT"
17003,GM SAG PUMP KIT
17065,"GEAR SEAL KIT, CHEVROLET 4 BOLTS (79-84)"
17084,"GEAR SEAL KIT, C-10 4 BOLTS (79-85)"
17086,GM PITMAN SHAFT KIT
173752,"FR MODULE, TOYOTA A750E/F 4RUN, LANCR 03+"
173753,"ST MODULE,  TOYOTA A750E/F 4RUNNER ,LANCR 03+ 1GR-FE ENGINE"
173901X,MASTER KIT TOY A750 E/F 03+
174700-175,"FR PLATE, NISSAN RE5R05A K1 INPUT HEG 02+"
174703-240,ST NISS RE5R05A K2 HI/LO REV 02+
174704-170,"FR PLATE, NISSAN RE5R05A B1 REV BRAKE HEG 02+"
174752C,"FR MODULE, RE5R05A (KIA SORENTO) 2004-ON"
174753C,"ST MODULE, RE5R05A  (KIA SORENTO) 2004-ON"
175558AK-P,ZF5HP19 CENTER SUPPORT KIT COMPLETE
175753,"ST MODULE, WAGON R SR410-412 98+"
175753B,SMOD SUZ 4AT JIMNY 00+
175901X,"MASTER KIT, WAGON R SR410, SR412 W/O PISTONS 98+"
175940,*** USE 41710D *** FILTER SUZUKI SR410 WAGON R 99+
17720AR,"PUMP, 1 BUSHING 3 RINGS, HOUSE REBUILT, MITSUBISHI"
17720ARK,"PUMP & DIRECT DRUM SET, 1 BUSHING 3 RINGS CLUTCH, HOUSE REBUILT"
17720BR,"PUMP, LOCK-UP, F4A22-23, 89-UP, 2 BUSHING JOURNALS, MITSUBISHI"
17720C,"FRONT PUMP, KM SPLIT CASE TYPE, 1 RING LAND INSIDE STARTOR R-3/10 REVERSE SERVO KIT  3/20"
17722A,"DIRECT DRUM, 2 CLUTCH BUSHING  3/10, MITSUBISHI"
17722B,"DIRECT DRUM  3/10, MITSUBISHI"
177512,"VALVE BODY,PER SPECS,4 SOLENOID LONG,BLACK WIRE HARDNESS, F4A21"
17751AP,"VALVE BODY MITSUBISHI , 4 SOL."
17751BP,"VALVE BODY HYUNDAI, 4 SOL."
17751Z,"VALVE BODY,PER SPECS,4 SOLENOID LONG,RED WIRE HARDNESS, F4A22"
17751ZH,"VALVE BODY,PER SPECS,4 SOLENOID LONG,RED WIRE HARDNESS, F4A22 MITSUBISHI"
17803687,HOUSING
17820A,"FRONT PUMP, 2 BUSHING JOURNALS, MITSUBISHI USED"
17820AP,"FRONT PUMP, USED 2 BUSHING, 14.50MM FROM TOP JOURNAL"
17820BP,"PUMP, FRONT, HOUSE REBUILT, 1 BUSHING, 20.74MM FROM TOP OF JOURNAL TO SEALING RING LAND"
17820BR,"PUMP, 1 BUSHING 20.74 MM"
17820CKP,"PUMP AND DRUM KIT, NARROW BUSHING A4BF3, HYUNDAI"
17820DKP,"PUMP&DRUM KIT SINGLE BUSHING  3/18, A4BF1"
17851D-P,"VALVE BODY A4BF3/A4AF3, 6 SOLENOIDS, MITSUBISHI KM178 SQUARE PLUG, WIRING HARNESS STOPS AR CASE,  SOLD AS IS NO WARRANTY"
17851Z,"VALVE BODY PER CUSTOMER SPECS, 1PC CASE, A4BF3 ONLY"
18231,"Race, F3A Hub To Forward Drum (3 Tabs)"
18232,"Bearing W/Race, F3A Forward Hub To Drum (Early)"
183700-160,"FR PLATE ZF6HP26 INPUT, FORWARD (A), L & R (D) 02+"
183752,"FMOD 6R60E, ZF6HP26, ZF6HP28 02+"
183753,SMOD ZF6HP26 02+
183800,OVERHAUL KIT  ZF6HP26 02+
18582A,"Planet, F3A Front (3 Gear) (1 Groove)"
187704-185,"FR PLATE, AW81-40LE REV HEG 04+"
187708-185,FR AW81-40 LE  LOW/ REV 04+
187709-183,ST AW81-40LE LOW/REVERSE (1ST & 2ND BRAKE) 04+
187753X,"ST MODULE, AW81-40LE (TOYOTA PONTIAC SUZUKI GM"
187940,"*** USE 94710U *** FLT AW81-40LE, U441E SUMP 04+"
189752,"FR MODULE, MERCEDES 722.9 2004-UP"
19152634,PAD KIT
191702-157,"FR PLATE, HYUNDAI JF402E ATOS PRIME LOW/REV 03+"
191704-157,FR HYUNDAI JF402E ATOS PRIME REV 04+
191706-157,"FR PLATE, HYUNDAI JF402E ATOS PRIME HIGH 04+"
191752,"FR MODULE, HYUNDAI, KIA  JF405E 03+"
191753X,"STEEL KIT HYUNDAI JF405E, JF406E, MAZDA, SUZUKI 1999-UP"
19180849,SEAL GM
191901,"MASTER KIT  HYUNDAI JF402E, JF405E 03+"
19213345,CYLINDER
19213345-2,CYLINDER 2
192300,"PISTON ZF4HP16 ""C"" 04+"
192670-9312,PISTON KIT ZF4HP16 (02 PCS)
192700-157,"FR PLATE, ZF4HP16 B,E,F CLUTCH HEG 04+"
192752,"FR MODULE, ZF4HP16 04+"
192753,ST MODULE ZF4HP16 04+
19387R,SOLENOID BLOCK E4OD REBUILT
195700-170,"FR PLATE, 6L80 1,2,3,4 CL HEG 06+"
195702-180,"FR PLATE, GM 6L80 3-5 REV CL HEG 06+"
195704-160,"FR PLATE, 6L80 4,5,6 CL HEG 06+"
195706-183,FR 6L80 2-6 CL HEG 06+
195708-163,FR 6L80 LOW/REV HEG 06+
195752B,"FR MODULE, GM 6L90E 07+"
195753A,"ST MODULE, GM 6L80E 06+"
19601,BUSHING KIT E4OD
196752,"FR MODULE, FORD 6F50, 6F55, GM 6T70, 6T75 6 Speed 2007-On"
19738BR,FRT PLANET E4OD 3 PIN
197405,MCS FORD TF-80SC RIGHT AXLE 05-ON
197406,MCS FORD TF-80SC LEFT AXLE 05-ON
19756A,OIL PUMP E4OD FORD
197752,"FR MODULE, AWF21, AF40-6 TF-80SC 05-ON"
198500,STEP MOTOR NISSAN CVT RE0F10A(JF011E)
1988099,L/C SEAL A604 FRONT PUMP OEM
199203,WASHER AW81-40LE (IND: 199203)
199204,WASHER AW81-40LE (IND: 199204)
1994792,ORING VW 01M PUMP
199700-180,"FR PLATE, TOYOTA U660E C2 (1ST, 2ND, 3RD, 4TH) 07+"
199752,"FR MODULE, TOYOTA U660E CAMRY,LEXUS 07+"
199753,"ST MODULE, TOYOTA U660E CAM LEX ES 07+"
199901X,MASTER KIT  U660E CAM LEX ES WO/PIST 07+
2000,"BASE MOUNTS, UNIVERSAL TRANS GM 955/96"
20186,METAL CLAD SEAL
20215,METAL CLAD SEAL
204940,FILTER GM 6T40/45E 99+
20769,"PLANET, CD4E FRONT 3 PINION"
96673,"SHAFT, TURBINE CD4E (8 1/8"" LONG) USED"
20810EA,DRUM CD4E FORWARD DIRECT 98-UP (4 PLATES) (DOUBLE DRUM)
20855,METAL CLAD SEAL
20880,SPRAG KIT CD4E INPUT
20913751,GM SILVERADO A/C CONDESADOR
21800,"*** USE 21800N *** FILTER ALLISON MT640/650 71-UP (PAPER MEDIA) (OEM# 6883044, 6831831, 23019201, 6839266)"
21811,SPRING KIT HONDA BYBA
22-101,"RACK & PINION, BUICK CENTURY"
22134,FOWARD PLANET A518 4 PINION ALUMINION
22449A,"WASHER, A518, A727 FRONT CLUTCH - 0.062"" THICK 90-UP (OE# 4617161)"
22449C,"WASHER, A518, A727 FRONT CLUTCH - 0.085"" THICK 90-UP (OE# 4617162)"
22449D,"WASHER, A518, A727 FRONT CLUTCH - 0.102"" THICK 90-UP (OE# 4617163)"
22556AC,"REVERSE DRUM A618/A518/A727 90-UP (W/Press on Race, 14 Roller), 6.25"" OD AT BAND SURFACE"
22594,"A518 STEEL,FORWARD/DIRECT"
22637,"DIAPHRAGM SPRING,  TF-8, THICK .074"" (IND: 22637) (LONG TABS)"
22750,"RACE T/F8, INNER"
22752S,"SPRAG C/ RETAINER,  A727 / TF8"
22754,TORQUE FLIGHT GOV SUPPORT (4 BOLT HOLE) OE 2466882
22800,BUSHING CHRYSLER  CROSS SHAFT
22841A,ACCUMULATOR PISTON HD (CHRYSLER) A518/A500 T6/T8 88-UP
22955-OEM,"*** USE 68187998AA *** GOVERNOR PRESSURE SENSOR, A500/A518, 46/47/48RE 93-99 OE"
23013906,"CONVERTER HUB, ALLISON MT-640, MT-650, 2ND DESIGN, LATE, BEARING STYLE, 8 BOLTS"
23500,BUSHING KIT AL4/DPO 98-ON (10 BUSHINGS)
23603,"BUSHING KIT 5R55N, 5R55W"
23752E,"PUMP, 4R55E BEARING TYPE"
23752G,PUMP COMPLETE 5R55S
23800E,"VALVE BODY, 5R55E"
23810,DRUM OVERDRIVE A4LD
23814,PLANET OVERDRIVE A4LD
23814B,PLANETARY SET
23863C,CENTER SUPPORT A4LD
24018,"PAN GASKET A540E, A540H FIBER (FARPAK)"
24020EX,"FR PLATE A540E, 1ST AND REVERSE LOW, 88-ON A140E"
24030,"BUSHING KIT A540E, A541E, 88-ON (8 BUSHINGS)"
24201479,4265LATE-C/V
24201486,4265LATE-C/V
24201487,"V/V PLATE, 4L60E MU"
24204435,"V/V PLATE, 4L60E PX"
24204438,"V/V PLATE, 4L60E PC"
24207492,"V/V PLATE, 4L60E PX"
24209284,4226 SHAFT
24210960,"CLUTCH ASSEMBLY, 4L60E"
24221125,"NEUTRAL SWITCH, 4L65E"
24221135,"V/V PLATE, 4L60E TA/TP/TZ/TM"
24221136,"V/V PLATE, 4L60E YPC, 24244047"
24221142,"PLATE PKG,CONTROL VLV BODY SPCR w/4-SPD A/TRANS(M30)"
24224169,"PISTON, GM 6L80E, 6L90E, 2-6 CLUTCH (OEM)"
24224172,"PISTON, GM 6L80E, 6L90E, LOW/REVERSE (OEM)"
24225896,"SENSOR, VSS 4L60E SMALL HOLE EXT, REPLACES 10456520 (OEM)"
24229085,"CHAIN, 4T65 (OEM)"
24229422,"NEUTRAL SAFETY SWTICH, 4L60E (95-03) (OEM) (IND# 77947) (OEM# 24229422)"
24230298,"SOLENOID, SHIFT 4L60E 93-UP (A/B) (OEM)"
24230653,"ALUMINUM DRUM, 4L70E"
24230654,HOUSING
24232416,"PISTON, 6L80E, 6L90E, 4-5-6 CLUTCH (OEM)"
24232417,"PISTON, GM 6L80E, 6L90E, 4-5-6 RETAINER (OEM)"
24234280,2480 HARNESS
24236486,4L70E PUMP STATOR
24241142,"PLATE PGK,CONTROL VLV BODY SPCR W/4-SPD ATRANS (M30),24244059"
24241782,"PLATE,CONTROL VLV BODY SPCR(W/GSKT) w/4-SPD A/TRANS(M30"
24244045,PLATE PKG C/ VALVE BODY SPCR
24244047,"VALVE BODY  PLATE,4L60E YPC, 24221136"
24244057,"VALVE BODY  PLATE, 4L60E ITA, REPLACES 24221141"
24244059,"VALVE BODY PLATE PKG,CONTROL VLV BODY SPCR w/4-SPD A/TRANS(M30)"
24244544,"SPEED SENSOR, 4L65E, 4L70E, 213-4336 INPUT (BOLT TO STATOR) (3 PRONG CONN) 05-UP (REPLACES 2134119, 24235714, 24237866, 24240149)"
24245141,"*** USE 24279827 *** SENSOR, INPUT/ OUTPUT SPEED GM 6L80E, 6L90E (OEM)"
24245346,PLATE
24267181,GM VALVE
247,PISTON KIT 5L40E (9 UNITS) NO AWD
DEL-24740-86Z00,"SENSOR, OUT"
25009T,PAN GASKET A55 79-87 CORK & RUBBER
25291BW,"SPRAG, A4LD OVERDRIVE 85-91 (24 ELEMENTS)"
25328BW,"SPRAG, F3A LOW-REV W/OUTER RACE ASSY 81-UP"
25347BW,"SPRAG, INTERMIDIATE TOYOTA A130/A140 (SMALL)"
25421,"ST C/P A40 SERIES O/D INTER 73-ONM ID 4.0, 8THT, .071THK, LONG TOOTH"
25423,"ST C/P A40 SERIES FWD, DIRECT, OD 73-ON, ID 4.0, 8THT, .071 THK, SHORT TOOTH"
25423B,ST PLATE A40 SERIES FWD/DIR 81-UP
25424,FR PLATE TOYOTA A40 SERIES INTERMEDIATE 85-UP
25425,"ST C/P A40 SERIES, LOW/REV, 73-ON, ID 4.0, 15THT, .071 THK"
25427,"ST C/P, A40 SERIES, INTER 80-ON, ID 4.0, 8THT, .092 THK"
25430,"BUSHING, TOYOTA A40, A130, A240, A340, A750, A760, AC60E/F, AW81-40, U140, U240, U441E, TF-70, CHRYSLER 62TE, AW50-40LE, AW55-50SN, AW60-40LE, MAZDA SJ6A-EL"
25431,"BUSHING A30, A40, 68-ON EXT HOUSING"
25809T,"PAN GASKET A130, A131, A140 83-97 CORK & RUBBER"
25819,"PAN GASKET, A130, A131, A140, DURAPRENE"
25820,"FR PLATE A540 FWD, DIRECT O/D DIRECT, 88-91/ A130, A140, A240, A540 OVERDRIVE"
25821,"ST C/P 130,140,240,340,350,540 FWD,DIR 1983-ON ID 4.1, 8THT, .071 THK IND#89102"
25823A,"ST C/P TOYOTA A245E,246E,247E 1ST/REV IND#89106A"
25840,"FILTER, A130 TOY"
25844,"FILTER, A140 TOY"
25846,"BAND, 2ND COAST,  A130, A140, A240 83-ON 0.9830 WIDE"
25880,FMOD A140 TOYOTA 83-97
25880A,FMOD TOYOTA A140 90-ON
25909T,"PAN GASKET A240E, 83-97 CORK AND RUBBER"
25921,"ST C/P A240,A245 UD DIRECT 85-ON, ID 5.60, 20THT, .071 THK, IND#89108"
25923,"ST C/P A240,A244 UD BRAKE, 85-92 ID 3.2, 8THT, .071 THK, IND#89110"
25925,"ST C/P TOYOTA A240,245 UD BRAKE, IND#89110A"
25940,"FILTER, A44DE A43DE A46DE A46DL 1983-Up  TOYOTA"
25990X,"FRICTION KIT TOYOTA A130, A131, A132 1984-UP"
25991X,"STEEL KIT TOYOTA A130, A131, A132 1984-UP"
26009T,PAN GASKET A340H 85 -ON
26050C,"FMOD TOYOTA A340/A343F, JEEP 85-ON"
